score_id,learner_id,session_registration,level,item_code,capability_code,round_number,decision_type,score,raw_score,correctness,compliance_flag,style_match,response_time_seconds,score_timestamp,raw_statement_id
00000000-0000-4000-8000-000000000003,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.1,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:00:17.000Z,00000000-0000-4000-8000-000000000003
00000000-0000-4000-8000-000000000004,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.2,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:00:29.000Z,00000000-0000-4000-8000-000000000004
00000000-0000-4000-8000-000000000005,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.3,(ETL lookup),,clearance-item,,,false,,,,2026-09-15T09:00:41.000Z,00000000-0000-4000-8000-000000000005
00000000-0000-4000-8000-000000000006,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.4,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:00:53.000Z,00000000-0000-4000-8000-000000000006
00000000-0000-4000-8000-000000000007,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.1,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:01:05.000Z,00000000-0000-4000-8000-000000000007
00000000-0000-4000-8000-000000000008,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.2,(ETL lookup),,clearance-item,,,false,,,,2026-09-15T09:01:17.000Z,00000000-0000-4000-8000-000000000008
00000000-0000-4000-8000-000000000009,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.3,(ETL lookup),,clearance-item,,,false,,,,2026-09-15T09:01:29.000Z,00000000-0000-4000-8000-000000000009
00000000-0000-4000-8000-00000000000a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.3,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:01:41.000Z,00000000-0000-4000-8000-00000000000a
00000000-0000-4000-8000-00000000000d,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.1,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:02:04.000Z,00000000-0000-4000-8000-00000000000d
00000000-0000-4000-8000-00000000000e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.2,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:02:16.000Z,00000000-0000-4000-8000-00000000000e
00000000-0000-4000-8000-00000000000f,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-0,L0.3,(ETL lookup),,clearance-item,,,true,,,,2026-09-15T09:02:28.000Z,00000000-0000-4000-8000-00000000000f
00000000-0000-4000-8000-000000000013,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.4,(ETL lookup),1,partner-selection,100,,true,safe,1,22,2026-09-15T09:03:03.000Z,00000000-0000-4000-8000-000000000013
00000000-0000-4000-8000-000000000014,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.1,(ETL lookup),1,diagnostic-flow,83,,true,,,,2026-09-15T09:03:43.000Z,00000000-0000-4000-8000-000000000014
00000000-0000-4000-8000-000000000015,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.1,(ETL lookup),1,hook,67,,true,safe,2,15,2026-09-15T09:03:58.000Z,00000000-0000-4000-8000-000000000015
00000000-0000-4000-8000-000000000016,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.3,(ETL lookup),1,diagnosis,67,,true,safe,2,19,2026-09-15T09:04:17.000Z,00000000-0000-4000-8000-000000000016
00000000-0000-4000-8000-000000000017,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L2.1,(ETL lookup),1,pitch,67,,true,safe,1,24,2026-09-15T09:04:41.000Z,00000000-0000-4000-8000-000000000017
00000000-0000-4000-8000-000000000019,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L2.3,(ETL lookup),1,objection-response,67,,true,safe,2,18,2026-09-15T09:05:05.000Z,00000000-0000-4000-8000-000000000019
00000000-0000-4000-8000-00000000001b,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L2.3,(ETL lookup),1,objection-response,33,,true,safe,2,18,2026-09-15T09:05:29.000Z,00000000-0000-4000-8000-00000000001b
00000000-0000-4000-8000-00000000001c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.4,(ETL lookup),1,round-completed,67,2,true,,,,2026-09-15T09:05:34.000Z,00000000-0000-4000-8000-00000000001c
00000000-0000-4000-8000-00000000001e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.4,(ETL lookup),2,partner-selection,100,,true,safe,2,22,2026-09-15T09:06:00.000Z,00000000-0000-4000-8000-00000000001e
00000000-0000-4000-8000-00000000001f,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,L1.1,(ETL lookup),2,diagnostic-flow,83,,true,,,,2026-09-15T09:06:40.000Z,00000000-0000-4000-8000-00000000001f
