objection_id,learner_id,session_registration,level,round_number,objection_type,response_option,score,compliance_flag,response_time_seconds,objection_timestamp,raw_statement_id
00000000-0000-4000-8000-000000000019,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,1,OBJ_1,objection-response-opt-a,67,safe,18,2026-09-15T09:05:05.000Z,00000000-0000-4000-8000-000000000019
00000000-0000-4000-8000-00000000001b,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,1,OBJ_2,objection-response-opt-a,33,safe,18,2026-09-15T09:05:29.000Z,00000000-0000-4000-8000-00000000001b
00000000-0000-4000-8000-000000000024,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,2,OBJ_3,objection-response-opt-a,100,safe,18,2026-09-15T09:08:02.000Z,00000000-0000-4000-8000-000000000024
00000000-0000-4000-8000-00000000002d,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,3,OBJ_6,objection-response-opt-a,33,safe,18,2026-09-15T09:10:35.000Z,00000000-0000-4000-8000-00000000002d
00000000-0000-4000-8000-000000000036,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,4,OBJ_7,objection-response-opt-a,67,safe,18,2026-09-15T09:13:08.000Z,00000000-0000-4000-8000-000000000036
00000000-0000-4000-8000-00000000003f,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,5,OBJ_6,objection-response-opt-a,100,safe,18,2026-09-15T09:15:41.000Z,00000000-0000-4000-8000-00000000003f
00000000-0000-4000-8000-000000000048,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,6,OBJ_2,objection-response-opt-a,67,safe,18,2026-09-15T09:18:14.000Z,00000000-0000-4000-8000-000000000048
00000000-0000-4000-8000-000000000051,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,7,OBJ_4,objection-response-opt-a,100,safe,18,2026-09-15T09:20:47.000Z,00000000-0000-4000-8000-000000000051
00000000-0000-4000-8000-000000000053,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,7,OBJ_3,objection-response-opt-a,67,safe,18,2026-09-15T09:21:11.000Z,00000000-0000-4000-8000-000000000053
00000000-0000-4000-8000-00000000005c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,OBJ_10,objection-response-opt-c,0,borderline,18,2026-09-15T09:23:44.000Z,00000000-0000-4000-8000-00000000005c
00000000-0000-4000-8000-00000000005e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,OBJ_9,objection-response-opt-c,0,borderline,18,2026-09-15T09:24:08.000Z,00000000-0000-4000-8000-00000000005e
00000000-0000-4000-8000-000000000068,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,OBJ_10,objection-response-opt-a,67,safe,18,2026-09-15T09:26:45.000Z,00000000-0000-4000-8000-000000000068
00000000-0000-4000-8000-00000000006a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,8,OBJ_9,objection-response-opt-a,33,safe,18,2026-09-15T09:27:09.000Z,00000000-0000-4000-8000-00000000006a
00000000-0000-4000-8000-000000000073,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,9,OBJ_11,objection-response-opt-a,67,safe,18,2026-09-15T09:29:42.000Z,00000000-0000-4000-8000-000000000073
00000000-0000-4000-8000-00000000007c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-1,10,OBJ_12,objection-response-opt-a,100,safe,18,2026-09-15T09:32:15.000Z,00000000-0000-4000-8000-00000000007c
00000000-0000-4000-8000-000000000084,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,OBJ_13,objection-response-opt-a,100,safe,18,2026-09-15T09:33:52.000Z,00000000-0000-4000-8000-000000000084
